id,name,category,quantity,price,market_id
d002425a-12c1-413a-b8ab-d16222b0900c,Agrest,owoce,100,2.46,54c159da-3242-442e-a21e-6f892af1786f
4faffc68-3546-4fab-ba92-4a1c17e925ae,Arbuz,owoce,100,7.88,54c159da-3242-442e-a21e-6f892af1786f
e483efe0-0756-4f14-86fb-870d9ce22ff1,Awokado,owoce,100,1.84,54c159da-3242-442e-a21e-6f892af1786f
b5533892-2080-44d9-9f3d-653dece293f8,Borówki amerykańskie,owoce,100,6.17,54c159da-3242-442e-a21e-6f892af1786f
8925c97d-6817-4c11-81bf-ae4e35e1ba9d,Brzoskwinia,owoce,100,3.42,54c159da-3242-442e-a21e-6f892af1786f
298127c6-26b4-49fa-8fc8-1cf3ad44daa4,Czarne jagody,owoce,100,1.4,54c159da-3242-442e-a21e-6f892af1786f
c16d49b3-22d8-4883-adaf-17bf0679080c,Czereśnie,owoce,100,1.27,54c159da-3242-442e-a21e-6f892af1786f
4d0d201c-ed9f-48a6-9d1a-0d44687d743d,Daktyle suszone,owoce suszone,100,2.23,54c159da-3242-442e-a21e-6f892af1786f
55b62eb2-dc4d-4d3b-bcdf-706f0de028c1,Figa,owoce,100,2.47,54c159da-3242-442e-a21e-6f892af1786f
f3f2bedb-2662-466b-b69f-de662db58c1e,Figi suszone,owoce suszone,100,6.77,54c159da-3242-442e-a21e-6f892af1786f
d532cbf8-7aca-4980-871e-b772c396ac42,Granat,owoce,100,2.89,54c159da-3242-442e-a21e-6f892af1786f
4148bf6d-5218-4b53-b81e-6115c36392df,Grapefruit,owoce,100,2.03,54c159da-3242-442e-a21e-6f892af1786f
d992b05c-1e92-4a8f-ba4b-f33b7114255f,Gruszka,owoce,100,2.77,54c159da-3242-442e-a21e-6f892af1786f
5001169b-0f25-4037-b40b-9d81636691dd,Jabłko,owoce,100,1.2,54c159da-3242-442e-a21e-6f892af1786f
af8a4275-bbd5-44a3-b624-1a12ffc968c3,Jabłka suszone,owoce suszone,100,4.52,54c159da-3242-442e-a21e-6f892af1786f
